"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","grank","gene_symbol","dataset","cell_type"
2.06205305281019e-77,1.53096325420432,0.019,0.007,3.86181295730292e-73,"Trm","643988",87,"FNDC10","Wu","T Cells"
2.37750786332249e-60,1.4811083325919,0.017,0.006,4.45259672643037e-56,"Trm","5063",96,"PAK3","Wu","T Cells"
0,1.89997796443038,0.462,0.206,0,"Tmm","85028",5,"SNHG12","Wu","T Cells"
0,1.12973211373378,0.54,0.306,0,"Tmm","6515",36,"SLC2A3","Wu","T Cells"
0,1.47357464759318,0.655,0.428,0,"Tmm","79101",14,"TAF1D","Wu","T Cells"
0,1.22300040448691,0.68,0.46,0,"Tmm","54541",27,"DDIT4","Wu","T Cells"
0,1.51437442961474,0.437,0.228,0,"Tmm","969",12,"CD69","Wu","T Cells"
0,1.17531021190205,0.542,0.337,0,"Tmm","94120",32,"SYTL3","Wu","T Cells"
0,1.84656035627687,0.322,0.123,0,"Tmm","55422",6,"ZNF331","Wu","T Cells"
0,1.10483881215227,0.588,0.403,0,"Tmm","7277",38,"TUBA4A","Wu","T Cells"
0,0.942786301342451,0.677,0.493,0,"Tmm","27436",78,"EML4","Wu","T Cells"
0,1.05354812599558,0.738,0.554,0,"Tmm","2908",51,"NR3C1","Wu","T Cells"
0,1.15534838129996,0.423,0.241,0,"Tmm","5734",34,"PTGER4","Wu","T Cells"
0,0.935474755057237,0.688,0.517,0,"Tmm","84159",79,"ARID5B","Wu","T Cells"
0,1.12489647425051,0.654,0.485,0,"Tmm","1390",37,"CREM","Wu","T Cells"
0,1.36487343402917,0.368,0.2,0,"Tmm","64061",19,"TSPYL2","Wu","T Cells"
0,1.06547952042305,0.465,0.314,0,"Tmm","1195",46,"CLK1","Wu","T Cells"
0,0.970951105702282,0.92,0.77,0,"Tmm","678",71,"ZFP36L2","Wu","T Cells"
0,1.27888569487163,0.361,0.213,0,"Tmm","65008",23,"MRPL1","Wu","T Cells"
0,1.01286910891941,0.768,0.626,0,"Tmm","6432",60,"SRSF7","Wu","T Cells"
0,0.965416630939778,0.649,0.514,0,"Tmm","23347",74,"SMCHD1","Wu","T Cells"
0,1.48339849931015,0.247,0.116,0,"Tmm","6309",13,"SC5D","Wu","T Cells"
0,2.06905791311786,0.168,0.05,0,"Tmm","5187",4,"PER1","Wu","T Cells"
0,2.19551377721242,0.149,0.041,0,"Tmm","4929",3,"NR4A2","Wu","T Cells"
0,0.949069905402162,0.888,0.791,0,"Tmm","441951",77,"ZFAS1","Wu","T Cells"
0,0.877026053028537,0.989,0.971,0,"Tmm","694",89,"BTG1","Wu","T Cells"
3.29061045388634e-271,0.862689352063126,0.536,0.41,6.16265525803833e-267,"Tmm","468",96,"ATF4","Wu","T Cells"
5.38848531112327e-264,1.55913997493252,0.164,0.071,1.00915552906717e-259,"Tmm","959",11,"CD40LG","Wu","T Cells"
7.67008693463917e-264,1.79046262264445,0.103,0.034,1.43645388111922e-259,"Tmm","80055",7,"PGAP1","Wu","T Cells"
1.62290707924226e-255,2.2419934085966,0.06,0.014,3.0393803780049e-251,"Tmm","23541",2,"SEC14L2","Wu","T Cells"
2.25755878341086e-255,0.882504896003458,0.435,0.296,4.22795608957185e-251,"Tmm","50852",87,"TRAT1","Wu","T Cells"
1.54459751124888e-246,1.72236928439933,0.093,0.03,2.8927222190669e-242,"Tmm","100506211",8,"MIR210HG","Wu","T Cells"
6.83129158307017e-236,0.959572999944557,0.428,0.302,1.27936428767738e-231,"Tmm","56829",75,"ZC3HAV1","Wu","T Cells"
5.75035314987452e-225,0.866844860675869,0.429,0.304,1.0769261379085e-220,"Tmm","9929",91,"JOSD1","Wu","T Cells"
8.12339566849751e-214,1.06305458066369,0.284,0.17,1.52134954079621e-209,"Tmm","202",48,"CRYBG1","Wu","T Cells"
3.51852036648311e-209,1.10017277908285,0.515,0.41,6.58948494234956e-205,"Tmm","3329",39,"HSPD1","Wu","T Cells"
2.69579550748794e-206,1.19716511734058,0.19,0.097,5.04868582642342e-202,"Tmm","3707",29,"ITPKB","Wu","T Cells"
2.50593349523126e-197,1.33197482296454,0.169,0.084,4.6931122498691e-193,"Tmm","51537",20,"MTFP1","Wu","T Cells"
5.51673554763259e-191,0.858906259780685,0.477,0.371,1.03317423336063e-186,"Tmm","100093630",100,"SNHG8","Wu","T Cells"
3.58358401154052e-189,1.13849751895875,0.19,0.1,6.71133613681308e-185,"Tmm","1649",35,"DDIT3","Wu","T Cells"
2.65134825143434e-188,1.06970412624833,0.362,0.253,4.96544500528624e-184,"Tmm","143686",45,"SESN3","Wu","T Cells"
8.09477575404972e-187,0.863940115905576,0.269,0.161,1.51598960321843e-182,"Tmm","5033",94,"P4HA1","Wu","T Cells"
2.27937299344456e-170,1.0325109684495,0.217,0.125,4.26880974212298e-166,"Tmm","57602",56,"USP36","Wu","T Cells"
